6.	6.01
5.97	6.11
5.94	6.2
5.91	6.31
5.88	6.41
5.85	6.52
5.82	6.64
5.79	6.76
5.76	6.89
5.73	7.02
5.7	7.16
5.67	7.31
5.64	7.46
5.61	7.63
5.58	7.8
5.56	7.99
5.53	8.19
5.5	8.4
5.47	8.62
5.44	8.87
5.41	9.13
5.38	9.41
5.35	9.71
5.32	10.
5.29	10.4
5.26	10.8
5.23	11.2
5.2	11.7
5.17	12.2
5.14	12.7
5.11	13.3
5.08	14.
5.05	14.7
5.02	15.5
4.99	16.3
4.96	17.2
4.93	18.2
4.9	19.1
4.87	20.2
4.84	21.1
4.81	22.1
4.78	22.9
4.75	23.6
4.73	24.1
4.7	24.4
4.67	24.5
4.64	24.3
4.61	23.9
4.58	23.3
4.55	22.6
4.52	21.8
4.49	21.
4.46	20.2
4.43	19.5
4.4	18.7
4.37	18.1
4.34	17.5
4.31	16.9
4.28	16.4
4.25	16.
4.22	15.7
4.19	15.3
4.16	15.1
4.13	14.9
4.1	14.7
4.07	14.5
4.04	14.4
4.01	14.3
3.98	14.2
3.95	14.2
3.92	14.2
3.89	14.2
3.87	14.2
3.84	14.2
3.81	14.3
3.78	14.4
3.75	14.4
3.72	14.5
3.69	14.6
3.66	14.8
3.63	14.9
3.6	15.
3.57	15.2
3.54	15.3
3.51	15.5
3.48	15.7
3.45	15.9
3.42	16.1
3.39	16.3
3.36	16.5
3.33	16.7
3.3	17.
3.27	17.2
3.24	17.5
3.21	17.8
3.18	18.
3.15	18.3
3.12	18.6
3.09	18.9
3.06	19.3
3.04	19.6
3.01	19.9
2.98	20.3
2.95	20.7
2.92	21.1
2.89	20.6
2.86	16.9
2.83	14.3
2.8	12.2
2.77	10.2
2.74	8.43
2.71	6.72
2.68	5.07
2.65	4.11
2.62	3.98
2.59	3.85
2.56	3.72
2.53	3.6
2.5	3.47
2.47	3.34
2.44	3.22
2.41	3.09
2.38	2.97
2.35	2.85
2.32	2.72
2.29	2.6
2.26	2.49
2.23	2.37
2.21	2.25
2.18	2.14
2.15	2.03
2.12	1.92
2.09	1.81
2.06	1.71
2.03	1.61
2.	1.52
1.97	1.42
1.94	1.34
1.91	1.25
1.88	1.17
1.85	1.09
1.82	1.02
1.79	0.939
1.76	0.833
1.73	0.813
1.7	0.799
1.67	0.781
1.64	0.76
1.61	0.735
1.58	0.704
1.55	0.666
1.52	0.618
1.49	0.556
1.46	0.47
1.43	0.329
1.4	0.125
1.37	0.122
1.35	0.118
1.32	0.115
1.29	0.111
1.26	0.108
1.23	0.105
1.2	0.101
1.17	0.0983
1.14	0.0952
1.11	0.0921
1.08	0.0891
1.05	0.0861
1.02	0.0832
0.989	0.0803
0.96	0.0775
0.93	0.0747
0.901	0.072
0.871	0.0693
0.841	0.0666
0.812	0.064
0.782	0.0614
0.752	0.0588
0.723	0.0562
0.693	0.0537
0.663	0.0512
0.634	0.0488
0.604	0.0463
0.574	0.0439
0.545	0.0415
0.515	0.0392
0.485	0.0368
0.456	0.0345
0.426	0.0322
0.396	0.0299
0.367	0.0276
0.337	0.0253
0.308	0.023
0.278	0.0208
0.248	0.0185
0.219	0.0163
0.189	0.0141
0.159	0.0119
0.13	0.00964
0.1	0.00743
